#Const,HR1,RA1,Dec1,Mag1,HR2,RA2,Dec2,Mag2
Mus,4671,184.392083,-67.960833,4.11,4798,189.295833,-69.135556,2.69
Mus,4773,188.116667,-72.133056,3.87,4798,189.295833,-69.135556,2.69
Mus,4773,188.116667,-72.133056,3.87,4923,195.567500,-71.548889,3.62
Mus,4798,189.295833,-69.135556,2.69,4844,191.570417,-68.108056,3.05
Mus,4844,191.570417,-68.108056,3.05,4923,195.567500,-71.548889,3.62
Nor,5962,240.803750,-49.229722,4.65,5980,241.622500,-45.173333,4.72
Nor,5962,240.803750,-49.229722,4.65,6072,244.960000,-50.155556,4.02
Nor,5980,241.622500,-45.173333,4.72,6115,246.796250,-47.555000,4.47
Nor,6072,244.960000,-50.155556,4.02,6115,246.796250,-47.555000,4.47
Oct,5339,216.728750,-83.667778,4.32,8254,325.368750,-77.390000,3.76
Oct,5339,216.728750,-83.667778,4.32,8630,341.513750,-81.381667,4.15
Oct,8254,325.368750,-77.390000,3.76,8630,341.513750,-81.381667,4.15
Oph,6056,243.586250,-3.694444,2.74,6075,244.580417,-4.692500,3.24
Oph,6056,243.586250,-3.694444,2.74,6149,247.728333,1.983889,3.82
Oph,6075,244.580417,-4.692500,3.24,6129,246.950417,-8.371667,4.63
Oph,6081,245.159167,-24.169444,4.55,6104,246.025833,-20.037500,4.50
Oph,6104,246.025833,-20.037500,4.50,6118,246.755833,-18.456389,4.42
Oph,6118,246.755833,-18.456389,4.42,6147,247.784583,-16.612778,4.28
Oph,6129,246.950417,-8.371667,4.63,6175,249.289583,-10.567222,2.56
Oph,6147,247.784583,-16.612778,4.28,6175,249.289583,-10.567222,2.56
Oph,6149,247.728333,1.983889,3.82,6299,254.417083,9.375000,3.20
Oph,6175,249.289583,-10.567222,2.56,6299,254.417083,9.375000,3.20
Oph,6175,249.289583,-10.567222,2.56,6378,257.594583,-15.724722,2.43
Oph,6299,254.417083,9.375000,3.20,6556,263.733750,12.560000,2.08
Oph,6378,257.594583,-15.724722,2.43,6453,260.502500,-24.999444,3.27
Oph,6378,257.594583,-15.724722,2.43,6561,264.396667,-15.398611,3.54
Oph,6378,257.594583,-15.724722,2.43,6603,265.868333,4.567222,2.77
Oph,6453,260.502500,-24.999444,3.27,6492,261.838750,-29.866944,4.29
Oph,6556,263.733750,12.560000,2.08,6603,265.868333,4.567222,2.77
Oph,6561,264.396667,-15.398611,3.54,6698,269.756667,-9.773611,3.34
Oph,6603,265.868333,4.567222,2.77,6629,266.973333,2.707222,3.75
Oph,6629,266.973333,2.707222,3.75,6698,269.756667,-9.773611,3.34
Oph,6698,269.756667,-9.773611,3.34,6869,275.327500,-2.898889,3.26
Oph,6869,275.327500,-2.898889,3.26,7141,284.055000,4.203611,4.62
Ori,1543,72.460000,6.961389,3.19,1544,72.652917,8.900278,4.36
Ori,1543,72.460000,6.961389,3.19,1552,72.801667,5.605000,3.69
Ori,1543,72.460000,6.961389,3.19,1790,81.282917,6.349722,1.64
Ori,1544,72.652917,8.900278,4.36,1570,73.724167,10.150833,4.65
Ori,1552,72.801667,5.605000,3.69,1567,73.562917,2.440556,3.72
Ori,1567,73.562917,2.440556,3.72,1601,74.637083,1.714167,4.47
Ori,1570,73.724167,10.150833,4.65,1580,74.092917,13.514444,4.07
Ori,1580,74.092917,13.514444,4.07,1638,76.142083,15.404167,4.68
Ori,1638,76.142083,15.404167,4.68,1676,77.425000,15.597222,4.82
Ori,1713,78.634583,-8.201667,0.12,1788,81.119167,-2.396944,3.36
Ori,1788,81.119167,-2.396944,3.36,1852,83.001667,-0.299167,2.23
Ori,1790,81.282917,6.349722,1.64,1852,83.001667,-0.299167,2.23
Ori,1790,81.282917,6.349722,1.64,1879,83.784583,9.934167,3.54
Ori,1790,81.282917,6.349722,1.64,2061,88.792917,7.406944,0.50
Ori,1852,83.001667,-0.299167,2.23,1903,84.053333,-1.201944,1.70
Ori,1879,83.784583,9.934167,3.54,2061,88.792917,7.406944,0.50
Ori,1903,84.053333,-1.201944,1.70,1948,85.189583,-1.942778,2.05
Ori,1948,85.189583,-1.942778,2.05,2004,86.939167,-9.669722,2.06
Ori,1948,85.189583,-1.942778,2.05,2061,88.792917,7.406944,0.50
Ori,2047,88.595417,20.276111,4.41,2135,90.980000,20.138333,4.63
Ori,2047,88.595417,20.276111,4.41,2159,91.892917,14.768333,4.42
Ori,2061,88.792917,7.406944,0.50,2124,90.595833,9.647500,4.12
Ori,2124,90.595833,9.647500,4.12,2199,92.985000,14.208889,4.48
Ori,2135,90.980000,20.138333,4.63,2199,92.985000,14.208889,4.48
Ori,2159,91.892917,14.768333,4.42,2199,92.985000,14.208889,4.48
Pav,6582,266.433333,-64.723889,3.62,6745,272.145000,-63.668333,4.35
Pav,6745,272.145000,-63.668333,4.35,6855,275.806667,-61.493889,4.36
Pav,6745,272.145000,-63.668333,4.35,7107,284.237500,-67.233611,4.44
Pav,6855,275.806667,-61.493889,4.36,7074,283.054167,-62.187500,4.22
Pav,6982,280.758750,-71.428056,4.01,7665,302.181667,-66.181944,3.56
Pav,7074,283.054167,-62.187500,4.22,7665,302.181667,-66.181944,3.56
Pav,7107,284.237500,-67.233611,4.44,7665,302.181667,-66.181944,3.56
Pav,7590,300.147917,-72.910556,3.96,7665,302.181667,-66.181944,3.56
Pav,7665,302.181667,-66.181944,3.56,7790,306.412083,-56.735000,1.94
Pav,7665,302.181667,-66.181944,3.56,7913,311.239583,-66.203056,3.42
Pav,7790,306.412083,-56.735000,1.94,8181,321.610833,-65.366111,4.22
Pav,7913,311.239583,-66.203056,3.42,8181,321.610833,-65.366111,4.22
Peg,15,2.097083,29.090556,2.06,39,3.309167,15.183611,2.83
Peg,15,2.097083,29.090556,2.06,8775,345.943750,28.082778,2.42
Peg,39,3.309167,15.183611,2.83,8781,346.190417,15.205278,2.49
Peg,8308,326.046667,9.875000,2.39,8450,332.550000,6.197778,3.53
Peg,8315,326.161250,25.645000,4.13,8430,331.752917,25.345000,3.76
Peg,8430,331.752917,25.345000,3.76,8667,341.632917,23.565556,3.95
Peg,8450,332.550000,6.197778,3.53,8634,340.365417,10.831389,3.40
Peg,8454,332.496667,33.178333,4.29,8650,340.750417,30.221389,2.94
Peg,8634,340.365417,10.831389,3.40,8781,346.190417,15.205278,2.49
Peg,8650,340.750417,30.221389,2.94,8775,345.943750,28.082778,2.42
Peg,8667,341.632917,23.565556,3.95,8684,342.500833,24.601667,3.48
Peg,8684,342.500833,24.601667,3.48,8775,345.943750,28.082778,2.42
Peg,8775,345.943750,28.082778,2.42,8781,346.190417,15.205278,2.49
Per,496,25.915000,50.688611,4.07,799,41.050000,49.228333,4.12
Per,799,41.050000,49.228333,4.12,937,47.266667,49.613333,4.05
Per,834,42.674167,55.895556,3.76,854,43.564583,52.762500,3.95
Per,834,42.674167,55.895556,3.76,915,46.199167,53.506389,2.93
Per,854,43.564583,52.762500,3.95,915,46.199167,53.506389,2.93
Per,854,43.564583,52.762500,3.95,937,47.266667,49.613333,4.05
Per,915,46.199167,53.506389,2.93,1017,51.080833,49.861111,1.79
Per,921,46.294167,38.840278,3.39,936,47.042083,40.955556,2.12
Per,936,47.042083,40.955556,2.12,941,47.374167,44.857222,3.80
Per,936,47.042083,40.955556,2.12,1220,59.463333,40.010278,2.89
Per,937,47.266667,49.613333,4.05,941,47.374167,44.857222,3.80
Per,937,47.266667,49.613333,4.05,1017,51.080833,49.861111,1.79
Per,1017,51.080833,49.861111,1.79,1122,55.731250,47.787500,3.01
Per,1122,55.731250,47.787500,3.01,1220,59.463333,40.010278,2.89
Per,1122,55.731250,47.787500,3.01,1273,62.165417,47.712500,4.04
Per,1131,56.079583,32.288333,3.83,1203,58.532917,31.883611,2.85
Per,1203,58.532917,31.883611,2.85,1228,59.741250,35.791111,4.04
Per,1220,59.463333,40.010278,2.89,1228,59.741250,35.791111,4.04
Per,1261,61.645833,50.351389,4.29,1324,64.560833,50.295556,4.61
Per,1273,62.165417,47.712500,4.04,1303,63.724583,48.409444,4.14
Per,1303,63.724583,48.409444,4.14,1324,64.560833,50.295556,4.61
Phe,25,2.352917,-45.747500,3.88,99,6.570833,-42.306111,2.39
Phe,25,2.352917,-45.747500,3.88,322,16.520833,-46.718611,3.31
Phe,99,6.570833,-42.306111,2.39,322,16.520833,-46.718611,3.31
Phe,322,16.520833,-46.718611,3.31,338,17.096250,-55.245833,3.92
Phe,322,16.520833,-46.718611,3.31,429,22.091250,-43.318333,3.41
Phe,338,17.096250,-55.245833,3.92,440,22.812917,-49.072778,3.95
Phe,429,22.091250,-43.318333,3.41,440,22.812917,-49.072778,3.95
Pic,2020,86.821250,-51.066389,3.85,2042,87.457083,-56.166667,4.51
Pic,2042,87.457083,-56.166667,4.51,2550,102.047500,-61.941389,3.27
PsA,8305,326.236667,-33.025833,4.34,8326,326.934167,-30.898333,5.01
PsA,8305,326.236667,-33.025833,4.34,8431,332.095833,-32.988611,4.50
PsA,8326,326.934167,-30.898333,5.01,8431,332.095833,-32.988611,4.50
PsA,8431,332.095833,-32.988611,4.50,8576,337.876250,-32.346111,4.29
PsA,8431,332.095833,-32.988611,4.50,8628,340.164167,-27.043611,4.17
PsA,8576,337.876250,-32.346111,4.29,8695,343.131667,-32.875556,4.46
PsA,8628,340.164167,-27.043611,4.17,8728,344.412917,-29.622222,1.16
PsA,8695,343.131667,-32.875556,4.46,8720,343.987083,-32.539722,4.21
PsA,8720,343.987083,-32.539722,4.21,8728,344.412917,-29.622222,1.16
Psc,224,12.170833,7.585000,4.43,294,15.735833,7.890000,4.28
Psc,224,12.170833,7.585000,4.43,9072,359.827917,6.863333,4.01
Psc,294,15.735833,7.890000,4.28,489,25.357917,5.487500,4.44
Psc,352,17.915000,30.089722,4.51,360,18.437083,24.583611,4.65
Psc,352,17.915000,30.089722,4.51,383,19.866667,27.264167,4.76
Psc,360,18.437083,24.583611,4.65,383,19.866667,27.264167,4.76
Psc,360,18.437083,24.583611,4.65,437,22.870833,15.345833,3.62
Psc,437,22.870833,15.345833,3.62,510,26.348333,9.157778,4.26
Psc,489,25.357917,5.487500,4.44,596,30.511667,2.763611,4.33
Psc,510,26.348333,9.157778,4.26,596,30.511667,2.763611,4.33
Psc,8852,349.291250,3.282222,3.69,8911,351.733333,1.255556,4.94
Psc,8852,349.291250,3.282222,3.69,8916,351.992083,6.378889,4.28
Psc,8911,351.733333,1.255556,4.94,8984,355.511667,1.780000,4.50
Psc,8916,351.992083,6.378889,4.28,8969,354.987500,5.626389,4.13
Psc,8969,354.987500,5.626389,4.13,8984,355.511667,1.780000,4.50
Psc,8969,354.987500,5.626389,4.13,9072,359.827917,6.863333,4.01
Pup,2326,95.987917,-52.695833,-0.72,2451,99.440417,-43.196111,3.17
Pup,2451,99.440417,-43.196111,3.17,2773,109.285833,-37.097500,2.70
Pup,2773,109.285833,-37.097500,2.70,2922,113.845000,-28.369444,4.64
Pup,2922,113.845000,-28.369444,4.64,2948,114.705417,-26.801667,4.50
Pup,2922,113.845000,-28.369444,4.64,2996,115.952083,-28.954722,3.96
Pup,2948,114.705417,-26.801667,4.50,3045,117.323750,-24.859722,3.34
Pup,2996,115.952083,-28.954722,3.96,3034,117.021667,-25.937222,4.50
Pup,3034,117.021667,-25.937222,4.50,3045,117.323750,-24.859722,3.34
Pup,3045,117.323750,-24.859722,3.34,3185,121.885833,-24.304167,2.81
Pup,3165,120.896250,-40.003333,2.25,3185,121.885833,-24.304167,2.81
Pup,3165,120.896250,-40.003333,2.25,3438,130.025833,-35.308333,3.97
Pyx,3438,130.025833,-35.308333,3.97,3468,130.897917,-33.186389,3.68
Pyx,3468,130.897917,-33.186389,3.68,3518,132.632917,-27.710000,4.01
Ret,1175,56.050000,-64.806944,3.85,1247,59.686250,-61.400278,4.56
Ret,1175,56.050000,-64.806944,3.85,1336,63.606250,-62.473889,3.35
Ret,1247,59.686250,-61.400278,4.56,1355,64.120417,-59.301944,4.44
Ret,1336,63.606250,-62.473889,3.35,1355,64.120417,-59.301944,4.44
Scl,280,14.651667,-29.357500,4.31,9016,357.231667,-28.130278,4.57
Scl,8863,349.705833,-32.531944,4.41,8937,353.242917,-37.818333,4.37
Scl,8863,349.705833,-32.531944,4.41,9016,357.231667,-28.130278,4.57
Sco,5928,239.221250,-29.214167,3.88,5944,239.712917,-26.114167,2.89
Sco,5944,239.712917,-26.114167,2.89,5953,240.083333,-22.621667,2.32
Sco,5953,240.083333,-22.621667,2.32,5984,241.359167,-19.805556,2.62
Sco,5953,240.083333,-22.621667,2.32,6084,245.297083,-25.592778,2.89
Sco,5984,241.359167,-19.805556,2.62,6027,242.998750,-19.460556,4.01
Sco,6084,245.297083,-25.592778,2.89,6134,247.351667,-26.431944,0.96
Sco,6134,247.351667,-26.431944,0.96,6165,248.970833,-28.216111,2.82
Sco,6165,248.970833,-28.216111,2.82,6241,252.540833,-34.293333,2.29
Sco,6241,252.540833,-34.293333,2.29,6247,252.967500,-38.047500,3.08
Sco,6247,252.967500,-38.047500,3.08,6271,253.645833,-42.361389,3.62
Sco,6271,253.645833,-42.361389,3.62,6380,258.038333,-43.239167,3.33
Sco,6380,258.038333,-43.239167,3.33,6553,264.330000,-42.997778,1.87
Sco,6508,262.690833,-37.295833,2.69,6527,263.402083,-37.103889,1.63
Sco,6508,262.690833,-37.295833,2.69,6580,265.622083,-39.030000,2.41
Sco,6527,263.402083,-37.103889,1.63,6630,267.464583,-37.043333,3.21
Sco,6553,264.330000,-42.997778,1.87,6615,266.896250,-40.126944,3.03
Sco,6580,265.622083,-39.030000,2.41,6615,266.896250,-40.126944,3.03
Sct,6930,277.299583,-14.565833,4.70,6973,278.801667,-8.244167,3.85
Sct,6930,277.299583,-14.565833,4.70,7020,280.568333,-9.052500,4.72
Sct,6973,278.801667,-8.244167,3.85,7063,281.793750,-4.747778,4.22
Sct,7020,280.568333,-9.052500,4.72,7063,281.793750,-4.747778,4.22
Ser,5802,234.123333,10.010000,5.26,5854,236.067083,6.425556,2.65
Ser,5802,234.123333,10.010000,5.26,5867,236.547083,15.421944,3.67
Ser,5842,235.387917,19.670278,4.52,5867,236.547083,15.421944,3.67
Ser,5842,235.387917,19.670278,4.52,5879,237.185000,18.141667,4.09
Ser,5854,236.067083,6.425556,2.65,5892,237.704167,4.477778,3.71
Ser,5867,236.547083,15.421944,3.67,5933,239.113333,15.661667,3.85
Ser,5879,237.185000,18.141667,4.09,5933,239.113333,15.661667,3.85
Ser,5881,237.405000,-3.430278,3.53,5892,237.704167,4.477778,3.71
Ser,5881,237.405000,-3.430278,3.53,6016,242.460417,-3.466944,5.37
Sex,3909,148.126667,-8.105000,5.05,3981,151.984583,-0.371667,4.49
Sex,3981,151.984583,-0.371667,4.49,4119,157.572917,-0.636944,5.09
Sex,4116,157.369583,-2.739167,5.21,4119,157.572917,-0.636944,5.09
Sge,7479,295.024167,18.013889,4.37,7536,296.847083,18.534167,3.82
Sge,7488,295.262083,17.476111,4.37,7536,296.847083,18.534167,3.82
Sge,7536,296.847083,18.534167,3.82,7635,299.689167,19.492222,3.47
Sgr,6746,271.452083,-30.424167,2.99,6859,275.248750,-29.828056,2.70
Sgr,6746,271.452083,-30.424167,2.99,6879,276.042917,-34.384722,1.85
Sgr,6812,273.440833,-21.058889,3.86,6913,276.992500,-25.421667,2.81
Sgr,6832,274.406667,-36.761667,3.11,6879,276.042917,-34.384722,1.85
Sgr,6859,275.248750,-29.828056,2.70,6879,276.042917,-34.384722,1.85
Sgr,6859,275.248750,-29.828056,2.70,6913,276.992500,-25.421667,2.81
Sgr,6859,275.248750,-29.828056,2.70,7039,281.414167,-26.990833,3.17
Sgr,6879,276.042917,-34.384722,1.85,7194,285.652917,-29.880278,2.60
Sgr,6913,276.992500,-25.421667,2.81,7039,281.414167,-26.990833,3.17
Sgr,7039,281.414167,-26.990833,3.17,7121,283.816250,-26.296667,2.02
Sgr,7039,281.414167,-26.990833,3.17,7194,285.652917,-29.880278,2.60
Sgr,7121,283.816250,-26.296667,2.02,7234,286.735000,-27.670556,3.32
Sgr,7150,284.432500,-21.106667,3.51,7217,286.170833,-21.741667,3.77
Sgr,7150,284.432500,-21.106667,3.51,7264,287.440833,-21.023611,2.89
Sgr,7194,285.652917,-29.880278,2.60,7234,286.735000,-27.670556,3.32
Sgr,7217,286.170833,-21.741667,3.77,7264,287.440833,-21.023611,2.89
Sgr,7264,287.440833,-21.023611,2.89,7340,290.418333,-17.847222,3.93
Tau,1030,51.203333,9.028889,3.60,1038,51.792500,9.732778,3.74
Tau,1030,51.203333,9.028889,3.60,1101,54.218333,0.401667,4.28
Tau,1038,51.792500,9.732778,3.74,1239,60.170000,12.490278,3.47
Tau,1038,51.792500,9.732778,3.74,1251,60.789167,5.989167,3.91
Tau,1239,60.170000,12.490278,3.47,1346,64.948333,15.627500,3.65
Tau,1346,64.948333,15.627500,3.65,1373,65.733750,17.542500,3.76
Tau,1346,64.948333,15.627500,3.65,1457,68.980000,16.509167,0.85
Tau,1373,65.733750,17.542500,3.76,1409,67.154167,19.180278,3.53
Tau,1409,67.154167,19.180278,3.53,1791,81.572917,28.607500,1.65
Tau,1457,68.980000,16.509167,0.85,1910,84.411250,21.142500,3.00
Tel,6783,272.807500,-45.954444,4.53,6897,276.743333,-45.968333,3.51
Tel,6897,276.743333,-45.968333,3.51,6905,277.207917,-49.070833,4.13
TrA,5671,229.727500,-68.679444,2.89,5771,234.180000,-66.316944,4.11
TrA,5671,229.727500,-68.679444,2.89,6217,252.166250,-69.027778,1.92
TrA,5771,234.180000,-66.316944,4.11,5897,238.785417,-63.430556,2.85
TrA,5897,238.785417,-63.430556,2.85,6217,252.166250,-69.027778,1.92
Tri,544,28.270417,29.578889,3.41,622,32.385833,34.987222,3.00
Tri,544,28.270417,29.578889,3.41,664,34.328750,33.847222,4.01
Tri,622,32.385833,34.987222,3.00,664,34.328750,33.847222,4.01
Tuc,77,5.017917,-64.874722,4.23,126,7.886250,-62.958056,4.37
Tuc,77,5.017917,-64.874722,4.23,9076,359.979167,-65.577222,4.50
Tuc,126,7.886250,-62.958056,4.37,8848,349.357500,-58.235833,3.99
Tuc,8502,334.625417,-60.259722,2.86,8540,336.833333,-64.966389,4.48
Tuc,8502,334.625417,-60.259722,2.86,8848,349.357500,-58.235833,3.99
Tuc,8540,336.833333,-64.966389,4.48,9076,359.979167,-65.577222,4.50
UMa,3323,127.566250,60.718056,3.36,3757,142.882083,63.061944,3.67
UMa,3323,127.566250,60.718056,3.36,3888,147.747500,59.038611,3.80
UMa,3569,134.801667,48.041667,3.14,3594,135.906250,47.156667,3.60
UMa,3594,135.906250,47.156667,3.60,3775,143.214167,51.677222,3.17
UMa,3757,142.882083,63.061944,3.67,3888,147.747500,59.038611,3.80
UMa,3757,142.882083,63.061944,3.67,4301,165.932083,61.750833,1.79
UMa,3775,143.214167,51.677222,3.17,3888,147.747500,59.038611,3.80
UMa,3888,147.747500,59.038611,3.80,4295,165.460417,56.382500,2.37
UMa,4033,154.274167,42.914444,3.45,4069,155.582083,41.499444,3.05
UMa,4069,155.582083,41.499444,3.05,4335,167.415833,44.498611,3.01
UMa,4295,165.460417,56.382500,2.37,4301,165.932083,61.750833,1.79
UMa,4295,165.460417,56.382500,2.37,4554,178.457500,53.694722,2.44
UMa,4301,165.932083,61.750833,1.79,4660,183.856667,57.032500,3.31
UMa,4335,167.415833,44.498611,3.01,4518,176.512500,47.779444,3.71
UMa,4375,169.545833,31.529167,4.41,4377,169.619583,33.094167,3.48
UMa,4377,169.619583,33.094167,3.48,4518,176.512500,47.779444,3.71
UMa,4518,176.512500,47.779444,3.71,4554,178.457500,53.694722,2.44
UMa,4554,178.457500,53.694722,2.44,4660,183.856667,57.032500,3.31
UMa,4660,183.856667,57.032500,3.31,4905,193.507083,55.959722,1.77
UMa,4905,193.507083,55.959722,1.77,5054,200.981250,54.925278,2.27
UMa,5054,200.981250,54.925278,2.27,5191,206.885000,49.313333,1.86
UMi,424,37.952917,89.264167,2.02,6789,263.053750,86.586389,4.36
UMi,5563,222.676250,74.155556,2.08,5735,230.182083,71.833889,3.05
UMi,5563,222.676250,74.155556,2.08,5903,236.014583,77.794444,4.32
UMi,5735,230.182083,71.833889,3.05,6116,244.376250,75.755278,4.95
UMi,5903,236.014583,77.794444,4.32,6116,244.376250,75.755278,4.95
UMi,5903,236.014583,77.794444,4.32,6322,251.492083,82.037222,4.23
UMi,6322,251.492083,82.037222,4.23,6789,263.053750,86.586389,4.36
Vel,3165,120.896250,-40.003333,2.25,3206,122.372083,-47.345833,4.27
Vel,3206,122.372083,-47.345833,4.27,3426,129.411250,-42.989167,4.14
Vel,3206,122.372083,-47.345833,4.27,3485,131.175833,-54.708333,1.96
Vel,3426,129.411250,-42.989167,4.14,3477,131.100000,-42.649167,4.07
Vel,3477,131.100000,-42.649167,4.07,3634,136.999167,-43.432500,2.21
Vel,3485,131.175833,-54.708333,1.96,3734,140.528333,-55.010833,2.50
Vel,3634,136.999167,-43.432500,2.21,3786,142.675000,-40.466667,3.60
Vel,3734,140.528333,-55.010833,2.50,3940,149.215833,-54.567778,3.54
Vel,3786,142.675000,-40.466667,3.60,4023,153.684167,-42.121944,3.85
Vel,3940,149.215833,-54.567778,3.54,4216,161.692500,-49.420000,2.69
Vel,4023,153.684167,-42.121944,3.85,4216,161.692500,-49.420000,2.69
Vir,4517,176.465000,6.529444,4.03,4540,177.673750,1.764722,3.61
Vir,4517,176.465000,6.529444,4.03,4608,181.302083,8.733056,4.12
Vir,4540,177.673750,1.764722,3.61,4689,184.976667,-0.666944,3.89
Vir,4608,181.302083,8.733056,4.12,4689,184.976667,-0.666944,3.89
Vir,4689,184.976667,-0.666944,3.89,4825,190.415000,-1.449444,3.65
Vir,4825,190.415000,-1.449444,3.65,4910,193.900833,3.397500,3.38
Vir,4825,190.415000,-1.449444,3.65,4963,197.487500,-5.538889,4.38
Vir,4825,190.415000,-1.449444,3.65,5107,203.673333,-0.595833,3.37
Vir,4910,193.900833,3.397500,3.38,4932,195.544167,10.959167,2.83
Vir,4963,197.487500,-5.538889,4.38,5056,201.298333,-11.161389,0.98
Vir,5107,203.673333,-0.595833,3.37,5264,210.411667,1.544444,4.26
Vir,5107,203.673333,-0.595833,3.37,5338,214.003750,-6.000556,4.08
Vir,5264,210.411667,1.544444,4.26,5511,221.562083,1.892778,3.72
Vir,5338,214.003750,-6.000556,4.08,5487,220.765000,-5.658333,3.88
Vol,2736,107.187083,-70.498889,3.78,2803,109.207500,-67.957222,3.98
Vol,2736,107.187083,-70.498889,3.78,3223,121.982500,-68.617222,4.35
Vol,2803,109.207500,-67.957222,3.98,3223,121.982500,-68.617222,4.35
Vol,3223,121.982500,-68.617222,4.35,3347,126.434167,-66.136944,3.77
Vol,3223,121.982500,-68.617222,4.35,3615,135.611667,-66.396111,4.00
Vol,3347,126.434167,-66.136944,3.77,3615,135.611667,-66.396111,4.00
Vul,7405,292.176250,24.665000,4.44,7592,298.365417,24.079722,4.58
